spider_id,Experiment ,ZT,CT,Monitor,Lights On,source_file,year,monitor,alive,LD_period_h,LD_pvalue_FAP,LD_power,LD_n_days,LD_significant,LD_entrained,DD_period_h,DD_pvalue_FAP,DD_power,DD_n_days,DD_significant
MW_MsD14_,,,,,,MW 0718-0729 2024 Monitor2.txt,,2.0,True,24.035,8.835713353696179e-117,0.0697,5.38,True,True,22.694,1.0740881888753e-111,0.0672,6.0,True
MW_MsD15_,True,17.0,,2.0,1am-1pm,MW 0718-0729 2024 Monitor2.txt,,2.0,True,23.902,3.4574647482488396e-55,0.0349,5.38,True,True,23.566,1.16564260865559e-59,0.0377,6.0,True
MW_MsD16_,True,13.0,,2.0,1am-1pm,MW 0718-0729 2024 Monitor2.txt,,2.0,True,24.43,8.207423692100721e-44,0.0284,5.38,True,True,23.013,7.227970900441271e-170,0.0991,6.0,True
MW_MsD17_,True,17.0,,2.0,1am-1pm,MW 0718-0729 2024 Monitor2.txt,,2.0,True,23.36,9.3724582289625e-41,0.0266,5.38,True,True,21.32,2.66471968787275e-43,0.0282,6.0,True
MW_MsD18_,True,9.0,,2.0,1am-1pm,MW 0718-0729 2024 Monitor2.txt,,2.0,True,23.864,4.84597071623857e-85,0.052,5.38,True,True,22.424,2.85715560549026e-228,0.13,6.0,True
MW_MsD19_,,,,,,MW 0718-0729 2024 Monitor2.txt,,2.0,True,24.329,7.026077928730103e-53,0.0336,5.38,True,True,21.267,3.1648500508874896e-77,0.0477,6.0,True
MW_MsD1_,True,21.0,,2.0,1am-1pm,MW 0718-0729 2024 Monitor2.txt,,2.0,True,23.619,2.79210023800814e-62,0.039,5.38,True,True,21.548,1.49774375615124e-91,0.0559,6.0,True
MW_MsD20_,True,13.0,,2.0,1am-1pm,MW 0718-0729 2024 Monitor2.txt,,2.0,True,23.52,4.1641098310553e-187,0.1079,5.38,True,True,22.005,0.0,0.2139,6.0,True
MW_MsD21_,True,13.0,,2.0,1am-1pm,MW 0718-0729 2024 Monitor2.txt,,2.0,True,23.767,1.63721861580584e-79,0.0488,5.38,True,True,24.035,1.0334052389547269e-296,0.1648,6.0,True
MW_MsD22_,True,21.0,,2.0,1am-1pm,MW 0718-0729 2024 Monitor2.txt,,2.0,True,24.738,1.0769364139185398e-82,0.0506,5.38,True,True,22.898,5.99159410557153e-210,0.1204,6.0,True
MW_MsD23_,True,17.0,,2.0,1am-1pm,MW 0718-0729 2024 Monitor2.txt,,2.0,True,23.825,2.42714267272129e-55,0.035,5.38,True,True,24.606,1.09951363444491e-65,0.0411,6.0,True
MW_MsD24_,True,13.0,,2.0,1am-1pm,MW 0718-0729 2024 Monitor2.txt,,2.0,True,24.012,1.23227000050642e-63,0.0398,5.38,True,True,23.498,3.8404533380695e-88,0.0539,6.0,True
MW_MsD25_,True,9.0,,2.0,1am-1pm,MW 0718-0729 2024 Monitor2.txt,,2.0,True,23.926,9.343554786942301e-89,0.0541,5.38,True,True,23.29,4.48779202660197e-22,0.0157,6.0,True
MW_MsD26_,,,,,,MW 0718-0729 2024 Monitor2.txt,,2.0,True,24.126,2.3177618542034197e-227,0.129,5.38,True,True,23.056,1.2285752009248198e-94,0.0576,6.0,True
MW_MsD27_,,,,,,MW 0718-0729 2024 Monitor2.txt,,2.0,True,23.626,5.09931145675124e-40,0.0262,5.38,True,True,20.581,3.3376774613198796e-11,0.0092,6.0,True
MW_MsD28_,True,13.0,,2.0,1am-1pm,MW 0718-0729 2024 Monitor2.txt,,2.0,True,23.672,5.1343789478644e-82,0.0503,5.38,True,True,22.984,2.09955986320453e-103,0.0625,6.0,True
MW_MsD29_,,,,,,MW 0718-0729 2024 Monitor2.txt,,2.0,False,,,,5.38,False,False,22.849,1.38056810108661e-43,0.0284,6.0,True
MW_MsD2_,True,21.0,,2.0,1am-1pm,MW 0718-0729 2024 Monitor2.txt,,2.0,True,24.185,1.90186568375656e-78,0.0482,5.38,True,True,20.185,4.47493857732205e-40,0.0263,6.0,True
MW_MsD30_,,,,,,MW 0718-0729 2024 Monitor2.txt,,2.0,True,24.161,6.6014102106804995e-90,0.0547,5.38,True,True,22.729,1.31939322888356e-108,0.0654,6.0,True
MW_MsD3_,,,,,,MW 0718-0729 2024 Monitor2.txt,,2.0,True,23.771,5.519167606572689e-204,0.1168,5.38,True,True,22.349,6.09122864443012e-142,0.0839,6.0,True
MW_MsD4_,True,17.0,,2.0,1am-1pm,MW 0718-0729 2024 Monitor2.txt,,2.0,True,24.039,7.30743158639591e-78,0.0479,5.38,True,True,22.938,2.1486533753645e-155,0.0912,6.0,True
MW_MsD5_,True,21.0,,2.0,1am-1pm,MW 0718-0729 2024 Monitor2.txt,,2.0,True,24.43,3.3604066180704e-171,0.0994,5.38,True,True,22.404,2.32920619768321e-125,0.0748,6.0,True
MW_MsD6_,True,17.0,,2.0,1am-1pm,MW 0718-0729 2024 Monitor2.txt,,2.0,True,23.626,7.468169848758227e-264,0.1477,5.38,True,True,22.305,1.2485292588587901e-293,0.1633,6.0,True
MW_MsD7_,True,13.0,,2.0,1am-1pm,MW 0718-0729 2024 Monitor2.txt,,2.0,True,23.895,6.73652681422467e-115,0.0687,5.38,True,True,23.479,3.03056956100852e-62,0.0392,6.0,True
MW_MsD8_,,,,,,MW 0718-0729 2024 Monitor2.txt,,2.0,True,24.229,8.634973365857541e-15,0.0113,5.38,True,True,22.078,1.54264854669457e-92,0.0564,6.0,True
MW_MsD9_,True,21.0,,2.0,1am-1pm,MW 0718-0729 2024 Monitor2.txt,,2.0,True,24.337,4.81966566464039e-81,0.0497,5.38,True,True,20.361,1.2544344571290798e-83,0.0514,6.0,True
MW_MsA10_,,,,,,MsA DD-LD first group 0624-0708-2024 Monitor 3.txt,,3.0,True,23.844,6.89637135453207e-126,0.0743,5.42,True,True,23.806,1.2174564587834299e-158,0.0605,9.0,True
MW_MsA11_,,,,,,MsA DD-LD first group 0624-0708-2024 Monitor 3.txt,,3.0,True,25.955,5.14431667253439e-13,0.0102,5.42,True,False,22.746,6.38851768477853e-99,0.0388,9.0,True
MW_MsA12_,,,,,,MsA DD-LD first group 0624-0708-2024 Monitor 3.txt,,3.0,True,25.071,2.87555749246757e-44,0.0284,5.42,True,True,23.817,4.1070080319369495e-63,0.0256,9.0,True
MW_MsA13_,True,5.0,,3.0,8am-8pm,MsA DD-LD first group 0624-0708-2024 Monitor 3.txt,,3.0,True,24.082,8.074569684644279e-24,0.0166,5.42,True,True,23.401,1.5806973262673098e-104,0.0409,9.0,True
MW_MsA14_,,,,,,MsA DD-LD first group 0624-0708-2024 Monitor 3.txt,,3.0,True,22.445,2.7629365695458497e-25,0.0174,5.42,True,False,21.979,9.46429628577069e-242,0.0898,9.0,True
MW_MsA15_,,,,,,MsA DD-LD first group 0624-0708-2024 Monitor 3.txt,,3.0,True,22.548,3.3128898918549297e-25,0.0174,5.42,True,False,24.876,8.29561992188189e-190,0.0716,9.0,True
MW_MsA1_,,,,,,MsA DD-LD first group 0624-0708-2024 Monitor 3.txt,,3.0,True,23.334,2.11788610825367e-48,0.0308,5.42,True,True,23.611,1.71114529251993e-160,0.0611,9.0,True
