Period (hr),Amplitude,Significance
29.33,1553.24,1858.66
29.35,1517.90,1859.69
29.37,1474.25,1860.71
29.38,1482.60,1861.74
29.40,1494.24,1862.77
29.42,1520.50,1863.80
29.43,1511.81,1864.82
29.45,1507.43,1865.85
29.47,1498.14,1866.88
29.48,1483.84,1867.91
29.50,1492.55,1868.94
29.52,1512.11,1869.96
29.53,1559.56,1870.99
29.55,1565.35,1872.02
29.57,1599.90,1873.05
29.58,1682.01,1874.07
29.60,1722.76,1875.10
29.62,1765.69,1876.13
29.63,1759.61,1877.16
29.65,1731.76,1878.18
29.67,1715.87,1879.21
29.68,1667.11,1880.24
29.70,1659.18,1881.27
29.72,1653.45,1882.29
29.73,1639.79,1883.32
29.75,1605.90,1884.35
29.77,1596.72,1885.38
29.78,1574.89,1886.40
29.80,1545.69,1887.43
29.82,1510.99,1888.46
29.83,1502.76,1889.49
29.85,1546.03,1890.51
29.87,1598.42,1891.54
29.88,1604.70,1892.57
29.90,1591.36,1893.60
29.92,1555.97,1894.62
29.93,1478.50,1895.65
29.95,1447.82,1896.68
29.97,1469.06,1897.71
29.98,1480.18,1898.73
30.00,1503.52,1899.76
30.02,1567.69,1900.79
30.03,1582.49,1901.82
30.05,1584.41,1902.84
30.07,1597.24,1903.87
30.08,1598.33,1904.90
30.10,1602.66,1905.93
30.12,1623.92,1906.95
30.13,1644.36,1907.98
30.15,1690.35,1909.01
30.17,1688.30,1910.03
30.18,1693.96,1911.06
30.20,1659.49,1912.09
30.22,1660.68,1913.12
30.23,1652.40,1914.14
30.25,1647.15,1915.17
30.27,1663.05,1916.20
30.28,1669.15,1917.23
30.30,1681.36,1918.25
30.32,1672.84,1919.28
30.33,1681.57,1920.31
30.35,1660.33,1921.33
30.37,1661.95,1922.36
30.38,1636.91,1923.39
30.40,1625.62,1924.42
30.42,1626.68,1925.44
30.43,1614.39,1926.47
30.45,1620.44,1927.50
30.47,1610.85,1928.53
30.48,1604.94,1929.55
30.50,1598.38,1930.58
30.52,1621.83,1931.61
30.53,1616.46,1932.63
30.55,1604.67,1933.66
30.57,1610.50,1934.69
30.58,1613.95,1935.72
30.60,1624.49,1936.74
30.62,1631.32,1937.77
30.63,1651.16,1938.80
30.65,1648.73,1939.82
30.67,1643.89,1940.85
30.68,1623.31,1941.88
30.70,1636.68,1942.91
30.72,1671.20,1943.93
30.73,1679.80,1944.96
30.75,1671.96,1945.99
30.77,1684.12,1947.01
30.78,1701.55,1948.04
30.80,1720.08,1949.07
30.82,1721.18,1950.09
30.83,1722.60,1951.12
30.85,1718.10,1952.15
30.87,1735.05,1953.18
